country,founded,id,industry,linkedin_url,locality,name,region,size,website,country_iso2
egypt,2018,raskulls-game-studio,computer games,linkedin.com/company/raskulls-game-studio,,raskulls game studio,cairo,1-10,raskullsgamestudio.com,EG
,2018,galaxysoft1,computer games,linkedin.com/company/galaxysoft1,,galaxysoft,,1-10,galaxysoft.info,
philippines,2018,maliw-digital-studios-inc,computer games,linkedin.com/company/maliw-digital-studios-inc,pasig city,maliw digital studios inc.,metro manila,1-10,,PH
,2018,global-impact-gaming-international-hb,computer games,linkedin.com/company/global-impact-gaming-international-hb,,global impact gaming international hb,,1-10,,
spain,2018,ion-esports,computer games,linkedin.com/company/ion-esports,madrid,ion,madrid,1-10,ionesports.com,ES
belgium,2018,vr-hut-sprl,computer games,linkedin.com/company/vr-hut-sprl,,vr-hut,,1-10,vr-hut.be,BE
spain,2018,luna1,computer games,linkedin.com/company/luna1,,luna 1 studio,,1-10,luna1studio.com,ES
united states,2018,kagura-games,computer games,linkedin.com/company/kagura-games,san jose,kagura games llc,california,51-200,kaguragames.com,US
india,2018,taragamestudios,computer games,linkedin.com/company/taragamestudios,hyderabad,tara game studios pvt ltd,telangana,1-10,taragamesstudio.com,IN
finland,2018,from-ashes-oy,computer games,linkedin.com/company/from-ashes-oy,espoo,from ashes oy,southern finland,1-10,,FI
canada,2018,little-beavers-games,computer games,linkedin.com/company/little-beavers-games,montreal,little beavers games,quebec,1-10,discord.gg/2vb7vrd,CA
australia,2018,fizzy-digital-aus,computer games,linkedin.com/company/fizzy-digital-aus,perth,fizzy digital,western australia,1-10,,AU
united kingdom,2018,cryptofighters,computer games,linkedin.com/company/cryptofighters,london,cryptofighters,london,1-10,cryptofighters.io,GB
united states,2018,games-right-meow,computer games,linkedin.com/company/games-right-meow,madison,games right meow,wisconsin,1-10,gamesrightmeow.com,US
united kingdom,2018,stigma-esports,computer games,linkedin.com/company/stigma-esports,,stigma esports limited,nottinghamshire,1-10,stigmaesports.com,GB
czechia,2018,loudcake,computer games,linkedin.com/company/loudcake,prague,loudcake,praha,11-50,loudcake.com,CZ
poland,2018,dreamplant-studio,computer games,linkedin.com/company/dreamplant-studio,,dreamplant studio,kujawsko-pomorskie,1-10,,PL
pakistan,2018,techmazia,computer games,linkedin.com/company/techmazia,rawalpindi,techmazia,punjab,1-10,techmazia.com,PK
united states,2018,philly-esports,computer games,linkedin.com/company/philly-esports,philadelphia,philly esports,pennsylvania,1-10,phillyesports.net,US
belgium,2018,rebel-camp-games,computer games,linkedin.com/company/rebel-camp-games,geel,rebel camp games,flanders,1-10,rebelcampgames.com,BE
canada,2018,ludare,computer games,linkedin.com/company/ludare,vancouver,ludare games group,british columbia,1-10,ludare.com,CA
south korea,2018,moraplay,computer games,linkedin.com/company/moraplay,,moraplay,seoul,1-10,moraplay.com,KR
canada,2018,apocalypse-studios-inc,computer games,linkedin.com/company/apocalypse-studios-inc,st. catharines,apocalypse studios inc.,ontario,11-50,apocalypse333.com,CA
,2018,zenixgames,computer games,linkedin.com/company/zenixgames,,zenixgames,,1-10,zenix.games,
australia,2018,scoresaber,computer games,linkedin.com/company/scoresaber,,scoresaber,victoria,11-50,scoresaber.com,AU
,2018,ninetap,computer games,linkedin.com/company/ninetap,,ninetap,,1-10,ninetap.com,
,2018,gamerscloob,computer games,linkedin.com/company/gamerscloob,,game.ir - gamers club - کلوب گیمرها,,1-10,game.ir,
malaysia,2018,all-pixels-by-streamline,computer games,linkedin.com/company/all-pixels-by-streamline,,all pixels by streamline,kuala lumpur,11-50,allpixels.com,MY
united states,2018,larsonsoft,computer games,linkedin.com/company/larsonsoft,spring hill,larsonsoft,tennessee,1-10,dallenlarson.com,US
canada,2018,stlcodeclub,computer games,linkedin.com/company/stlcodeclub,montreal,stl code club,quebec,1-10,facebook.com/stlcodeclub,CA
poland,2018,pixune,computer games,linkedin.com/company/pixune,,pixune studios,,11-50,pixune.com,PL
,2018,notorious-legion-esport,computer games,linkedin.com/company/notorious-legion-esport,,notorious legion esport,,1-10,nlesport.com,
denmark,2018,sill-grafik,computer games,linkedin.com/company/sill-grafik,grenaa,sill grafik,midtjylland,1-10,sillgrafik.com,DK
united states,2018,really-ragdoll,computer games,linkedin.com/company/really-ragdoll,seattle,really ragdoll,washington,1-10,reallyragdoll.com,US
united states,2018,shadow-shrimp-studio,computer games,linkedin.com/company/shadow-shrimp-studio,bloomington,shadow shrimp studio,indiana,1-10,shadowshrimpstudios.blogspot.com,US
netherlands,2018,dokai-tutorials,computer games,linkedin.com/company/dokai-tutorials,tilburg,dokai,north brabant,1-10,dokai-tutorials.com,NL
france,2018,esport-club-strasbourg,computer games,linkedin.com/company/esport-club-strasbourg,strasbourg,esport club strasbourg,grand est,1-10,ecstrasbourg.fr,FR
france,2018,pixelhearteu,computer games,linkedin.com/company/pixelhearteu,marseille,pixelheart,provence-alpes-cote d'azur,11-50,pixelheart.eu,FR
belarus,2018,unrealint,computer games,linkedin.com/company/unrealint,,unreal interactive,,11-50,unrealinteractive.com,BY
italy,2018,roleever,computer games,linkedin.com/company/roleever,bologna,roleever,emilia-romagna,1-10,roleever.com,IT
united states,2018,voxpopgames,computer games,linkedin.com/company/voxpopgames,brooklyn,voxpop games,new york,1-10,voxpopgames.net,US
indonesia,2018,projectmax,computer games,linkedin.com/company/projectmax,,projectmax,jakarta,1-10,projectmax.id,ID
germany,2018,argonwood,computer games,linkedin.com/company/argonwood,cologne,argonwood,nordrhein-westfalen,1-10,argonwood.com,DE
china,2018,crazy-world-digital,computer games,linkedin.com/company/crazy-world-digital,chengdu,crazy world digital,sichuan,51-200,crazycg.cn,CN
finland,2018,riimugames,computer games,linkedin.com/company/riimugames,,riimu games,,1-10,riimugames.com,FI
spain,2018,nusakanstudio,computer games,linkedin.com/company/nusakanstudio,sevilla,nusakanstudio,andalucia,1-10,nusakanstudio.com,ES
united kingdom,2018,projectklowd-game-studios,computer games,linkedin.com/company/projectklowd-game-studios,weymouth,projectklowd game studios,dorset,1-10,projectklowd.co.uk,GB
spain,2018,mad-controller-games,computer games,linkedin.com/company/mad-controller-games,,mad controller games,madrid,1-10,,ES
united kingdom,2018,harbeestudios,computer games,linkedin.com/company/harbeestudios,guildford,harbee studios,surrey,1-10,harbeestudios.com,GB
united kingdom,2018,z3-brothers,computer games,linkedin.com/company/z3-brothers,london,z3 bros studio,england,1-10,,GB
russia,2018,matryoshka-games,computer games,linkedin.com/company/matryoshka-games,,matryoshka games,,11-50,matryoshka.com,RU
france,2018,sfl-interactive,computer games,linkedin.com/company/sfl-interactive,paris,sfl interactive,ile-de-france,11-50,streetpowergame.com,FR
united kingdom,2018,fruitlab-media-limited,computer games,linkedin.com/company/fruitlab-media-limited,london,fruitlab media limited,london,11-50,fruitlab.com,GB
belgium,2018,not-acompany,computer games,linkedin.com/company/not-acompany,,not a company,,1-10,,BE
united states,2018,code-ninjas-chanhassen,computer games,linkedin.com/company/code-ninjas-chanhassen,chanhassen,code ninjas - chanhassen,minnesota,11-50,codeninjas.com/locations/mn-chanhassen,US
united kingdom,2018,antler-studios,computer games,linkedin.com/company/antler-studios,,antler studios,,1-10,antlerstudios.net,GB
united kingdom,2018,beehive-games,computer games,linkedin.com/company/beehive-games,london,beehive games,greater london,1-10,beehive.games,GB
canada,2018,cash-live-inc,computer games,linkedin.com/company/cash-live-inc,vancouver,cash live entertainment inc,british columbia,11-50,cash.live,CA
,2018,amberwing-ab,computer games,linkedin.com/company/amberwing-ab,,amberwing,,1-10,,
india,2018,pokersd,computer games,linkedin.com/company/pokersd,delhi,pokersd.com,delhi,11-50,pokersd.com,IN
turkey,2018,flamingo-game-studio,computer games,linkedin.com/company/flamingo-game-studio,,flamingo game studio,,1-10,flamingo.gs,TR
india,2018,tentworks-interactive,computer games,linkedin.com/company/tentworks-interactive,bengaluru,tentworks interactive,karnataka,51-200,tentworks.io,IN
spain,2018,hotreload,computer games,linkedin.com/company/hotreload,santa cruz de tenerife,hotreload,canary islands,1-10,hotreload.tech,ES
australia,2018,the-eccentric-ape,computer games,linkedin.com/company/the-eccentric-ape,brisbane,the eccentric ape,queensland,1-10,t-e-a.net,AU
spain,2018,deadrabbitsclub,computer games,linkedin.com/company/deadrabbitsclub,,dead rabbits club,madrid,51-200,deadrabbitsclub.com,ES
spain,2018,garage51-entertainment,computer games,linkedin.com/company/garage51-entertainment,barcelona,garage51 entertainment,catalonia,1-10,garage51.es,ES
ukraine,2018,wanted-games-ukr,computer games,linkedin.com/company/wanted-games-ukr,,wanted games,kyiv city,1-10,gvsg.com.ua,UA
united states,2018,simtek-game-development,computer games,linkedin.com/company/simtek-game-development,herndon,simtek game development,virginia,1-10,simtekgamedevelopment.com,US
brazil,2018,pixodust,computer games,linkedin.com/company/pixodust,coutinho,pixodust,sao paulo,1-10,pixodust.com,BR
united states,2018,rockbunnygames,computer games,linkedin.com/company/rockbunnygames,,rock bunny games,florida,11-50,rockbunnygames.com,US
bulgaria,2018,vertexbee,computer games,linkedin.com/company/vertexbee,,vertexbee studios,sofia,11-50,vertexbee.com,BG
united states,2018,dragonclaw-studios,computer games,linkedin.com/company/dragonclaw-studios,jeannette,dragonclaw studios,pennsylvania,11-50,dragonclawstudios.com,US
germany,2018,gaminggrounds,computer games,linkedin.com/company/gaminggrounds,wittmar,gaming-grounds.de – das spielemagazin,niedersachsen,1-10,gaming-grounds.de,DE
pakistan,2018,twizardstudio,computer games,linkedin.com/company/twizardstudio,panjab,twizard game studio,punjab,11-50,,PK
malaysia,2018,streamline-games,computer games,linkedin.com/company/streamline-games,,streamline games,kuala lumpur,11-50,streamline-games.com,MY
hong kong,2018,officialgamico,computer games,linkedin.com/company/officialgamico,hong kong,gamico inc.,central and western,1-10,gamico.gg,HK
pakistan,2018,decluttereshop,computer games,linkedin.com/company/decluttereshop,lahore,declutter™,punjab,1-10,facebook.com/eshopdeclutter,PK
,2018,womengamejam,computer games,linkedin.com/company/womengamejam,,women game jam,,51-200,wgjbr.com.br,
china,2018,triple-e-game-limited,computer games,linkedin.com/company/triple-e-game-limited,beijing,triple e game limited,beijing,11-50,,CN
south korea,2018,bom-bus,computer games,linkedin.com/company/bom-bus,,bombus,seoul,201-500,bom-bus.com,KR
australia,2018,ultimate-studio,computer games,linkedin.com/company/ultimate-studio,,ultimate studio,,1-10,ultimate.studio,AU
united states,2018,acceleratxr,computer games,linkedin.com/company/acceleratxr,orlando,acceleratxr,florida,1-10,acceleratxr.com,US
australia,2018,armoured-beans,computer games,linkedin.com/company/armoured-beans,sydney,armoured beans,new south wales,1-10,armoured-beans.com,AU
france,2018,tap4fun-paris-studio,computer games,linkedin.com/company/tap4fun-paris-studio,paris,tap4fun paris studio,ile-de-france,11-50,,FR
poland,2018,donkeycrew,computer games,linkedin.com/company/donkeycrew,wroclaw,donkey crew,dolnoslaskie,11-50,donkey.team,PL
brazil,2018,spqrbrasilteam,computer games,linkedin.com/company/spqrbrasilteam,,spqr brasil team,sao paulo,11-50,spqrbrasilteam.com,BR
slovenia,2018,vedia-games,computer games,linkedin.com/company/vedia-games,,vedia games,škofja loka,1-10,vediagames.com,SI
argentina,2018,pathfindersstudio,computer games,linkedin.com/company/pathfindersstudio,,pathfinders studio,buenos aires,1-10,pathfindersstudio.com,AR
brazil,2018,molotov-estudios,computer games,linkedin.com/company/molotov-estudios,,molotov estúdios,,1-10,,BR
france,2018,ikimasho,computer games,linkedin.com/company/ikimasho,paris,ikimasho,ile-de-france,11-50,ikimasho.games,FR
canada,2018,aws-painting,computer games,linkedin.com/company/aws-painting,toronto,awsming minería,ontario,1-10,teichoscopy.itch.io,CA
united kingdom,2018,itistheend-ltd,computer games,linkedin.com/company/itistheend-ltd,brighton,it is the end ltd,brighton and hove,1-10,itistheend.co.uk,GB
united states,2018,blockchaingamestudios,computer games,linkedin.com/company/blockchaingamestudios,friendswood,block & chain game studios,texas,11-50,blockandchain.games,US
united kingdom,2018,fortitude-games,computer games,linkedin.com/company/fortitude-games,guildford,fortitude games,surrey,11-50,fortitudegames.co.uk,GB
united states,2018,neointeractive,computer games,linkedin.com/company/neointeractive,detroit,neo interactive,michigan,11-50,neointeractive.dev,US
brazil,2018,monstercrossingstudio,computer games,linkedin.com/company/monstercrossingstudio,,monster crossing studio,,1-10,monstercrossingstudio.com,BR
united states,2018,homeward-studios,computer games,linkedin.com/company/homeward-studios,lynchburg,homeward studios,virginia,11-50,homewardstudios.com,US
,2018,team-esport-revolution,computer games,linkedin.com/company/team-esport-revolution,,team esport revolution,,1-10,,
united kingdom,2018,playerlands,computer games,linkedin.com/company/playerlands,,playerlands,derby,11-50,playerlands.com,GB
united states,2018,anjekumi,computer games,linkedin.com/company/anjekumi,los angeles,anjekumi,california,1-10,anjekumi.com,US
spain,2018,team-bizz,computer games,linkedin.com/company/team-bizz,gerona,team bizz,catalonia,1-10,teambizz.es,ES
singapore,2018,xworldgames,computer games,linkedin.com/company/xworldgames,singapore,x world games,central singapore,51-200,xwg.games,SG
spain,2018,ramen-profitable-games,computer games,linkedin.com/company/ramen-profitable-games,sevilla,ramen profitable games,andalucia,1-10,ramenprofitablegames.com,ES
united states,2018,pinched,computer games,linkedin.com/company/pinched,stanford,pinched,california,1-10,apple.com/us/app/pinched/id1331337853,US
pakistan,2018,enfotrix-pvt-ltd,computer games,linkedin.com/company/enfotrix-pvt-ltd,sargodha,enfotrix (pvt.) ltd.,punjab,11-50,enfotrix.com,PK
belarus,2018,joyteam,computer games,linkedin.com/company/joyteam,,joyteam,,1-10,,BY
france,2018,lmxesport,computer games,linkedin.com/company/lmxesport,saint-germain-en-laye,lmxesport,ile-de-france,1-10,lmxesport.com,FR
united states,2018,windwalkgames,computer games,linkedin.com/company/windwalkgames,san francisco,windwalk games,california,1-10,windwalk.games,US
,2018,doondook-studio,computer games,linkedin.com/company/doondook-studio,,doondook.studio,,1-10,doondook.studio,
united states,2018,brownvanwickle,computer games,linkedin.com/company/brownvanwickle,borough of freehold,brown van wickle,new jersey,1-10,brownvanwickle.com,US
new zealand,2018,sidequest-software,computer games,linkedin.com/company/sidequest-software,auckland,sidequest software,auckland,1-10,sideque.st,NZ
united states,2018,group-6-studios,computer games,linkedin.com/company/group-6-studios,corvallis,group 6 studios,oregon,11-50,group6.io,US
united states,2018,redfog-crypto,computer games,linkedin.com/company/redfog-crypto,chicago,red fog,illinois,1-10,redfog.com,US
